,1999/05,1999/08,1999/11,2000/02,2000/05,2000/08,2000/11,2001/02,2001/05,2001/08,2001/11,2002/02,2002/05,2002/08,2002/11,2003/02,2003/05,2003/08,2003/11,2004/02,2004/05,2004/08,2004/11,2005/02,2005/05,2005/08,2005/11,2006/02,2006/05,2006/08,2006/11,2007/02,2007/05,2007/08,2007/11,2008/02,2008/05,2008/08,2008/11,2008/12,2009/03,2009/06,2009/09,2009/12,2010/03,2010/06,2010/09,2010/12,2011/03,2011/06,2011/09,2011/12,2012/03,2012/06,2012/09,2012/12,2013/03
basic earnings indicator,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
capital lease obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash at beginning of period,"2,836.0","2,836.0","2,836.0","3,055.0","3,055.0","3,055.0","3,055.0","3,870.0","3,870.0","3,870.0","3,870.0","6,909.0","6,909.0","6,909.0","6,909.0","4,822.0","4,822.0","4,822.0","4,822.0","7,087.0","7,087.0","7,087.0","7,087.0","4,365.0","4,365.0","4,365.0","4,365.0","10,261.0","10,261.0","10,261.0","10,261.0","6,293.0","6,293.0","6,293.0","6,293.0","11,882.0","11,882.0","11,882.0","10,282.0",0.0,"13,805.0","13,805.0","13,805.0","13,805.0","38,291.0","38,291.0","38,291.0","38,291.0","39,788.0","39,788.0","39,788.0","39,788.0","56,008.0","56,008.0","56,008.0","56,008.0","72,669.0"
common par,0.0,0.0,"4,343.0","4,363.0","4,578.0","4,053.0","4,765.0",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,0.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0
common stock equity,"7,856.0","8,597.0","10,145.0","11,096.0","11,905.0","12,693.0","16,530.0","17,438.0","18,016.0","17,958.0","18,231.0","18,495.0","18,858.0","18,844.0","19,003.0","19,514.0","20,042.0","20,438.0","21,632.0","22,235.0","23,152.0","23,514.0","25,079.0","26,075.0","25,645.0","25,857.0","26,252.0","27,165.0","29,200.0","30,393.0","32,686.0","33,800.0","35,359.0","36,018.0","39,700.0","39,529.0","41,718.0","42,499.0","47,898.0",0.0,"47,046.0","55,856.0","58,397.0","63,757.0","65,987.0","66,862.0","68,700.0","70,399.0","69,369.0","69,256.0","66,988.0","67,279.0","68,556.0","68,005.0","68,337.0","69,516.0","71,028.0"
deferred income taxes,"-2,139.0","-1,388.0","-1,387.0",0.0,0.0,0.0,-352.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,"1,040.0",0.0,0.0,0.0,-450.0,0.0,0.0,0.0,"-1,505.0",0.0,0.0,0.0,129.0,0.0,0.0,0.0,"-1,763.0",0.0,0.0,0.0,0.0,-431.0,0.0,0.0,0.0,"1,339.0",0.0,0.0,0.0,726.0,0.0,0.0,0.0,-356.0,0.0
earnings period indicator,S,N,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q
income from tax loss carryforward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income taxes,0.0,444.0,486.0,592.0,503.0,549.0,309.0,491.0,369.0,299.0,227.0,315.0,338.0,272.0,214.0,356.0,343.0,303.0,438.0,636.0,553.0,414.0,520.0,633.0,379.0,788.0,847.0,"1,210.0","1,212.0",768.0,"1,833.0","1,662.0","1,098.0","1,405.0","1,840.0",632.0,745.0,115.0,"-1,478.0",0.0,815.0,"1,594.0","1,606.0","2,429.0","1,703.0",835.0,913.0,"1,087.0","1,305.0",525.0,-337.0,234.0,"1,072.0",453.0,786.0,"1,421.0","1,113.0"
minority interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,717.0","8,907.0","7,265.0","7,687.0","28,076.0",0.0,"1,643.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,339.0",0.0,0.0
number of employees,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
number of part-time employees,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
other equity adjustments,0.0,0.0,"-2,001.0","-1,911.0","-1,964.0","-1,770.0","-2,008.0","3,192.0","3,342.0","3,039.0","3,154.0","3,080.0","3,246.0","2,407.0","2,527.0","2,564.0","2,705.0","2,253.0","2,651.0","1,396.0","1,498.0","1,121.0","1,907.0","1,981.0","2,165.0","2,406.0","3,415.0","3,320.0","3,587.0","3,825.0","6,311.0","5,785.0","6,189.0","6,519.0","9,108.0","8,128.0","8,465.0","8,771.0","9,082.0",0.0,"4,404.0","4,837.0","5,369.0","5,883.0","5,578.0","6,044.0","6,973.0","7,420.0","4,429.0","4,853.0","4,972.0","5,165.0","3,382.0","3,622.0","3,727.0","3,113.0","3,471.0"
other non-cash items,"8,246.0","3,617.0","-11,710.0","-1,081.0","-14,681.0","1,050.0","2,212.0","-2,395.0","-2,050.0","-1,711.0",789.0,"-2,037.0","-1,406.0",-903.0,-921.0,"-12,653.0","14,045.0",574.0,"1,509.0","-3,623.0","1,439.0","-27,110.0","-34,348.0","-2,117.0","-25,126.0","5,051.0","30,433.0","-13,663.0",611.0,"8,627.0","-12,231.0","-3,073.0","4,032.0","7,967.0","12,427.0","-24,072.0","-38,746.0","-7,101.0","-19,375.0",0.0,"-6,206.0","4,849.0","12,771.0","9,085.0","-9,465.0","-11,834.0","-3,961.0","-24,435.0",-393.0,"-5,071.0","-25,073.0","-13,029.0","11,819.0","6,966.0","14,681.0","15,613.0","3,289.0"
other special charges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"-2,281.0",0.0,-615.0,-668.0,"1,903.0",0.0,0.0,0.0,0.0,0.0
preferred dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,26.0,26.0,39.0,48.0,49.0,46.0,48.0,49.0,44.0,36.0,35.0,166.0,0.0,155.0,717.0,160.0,161.0,160.0,160.0,161.0,160.0,"1,827.0",35.0,35.0,35.0,35.0,35.0,54.0,59.0,72.0
preferred shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1
preferred stock equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,750.0,"1,750.0","1,750.0","2,600.0","3,100.0","3,100.0","3,100.0","3,100.0","3,100.0","3,100.0","3,100.0","3,100.0","3,100.0","16,471.0",0.0,"16,507.0","6,957.0","6,957.0","6,957.0","6,957.0","6,957.0","6,957.0","6,957.0","3,100.0","3,100.0","3,100.0","3,100.0","3,100.0","4,850.0","5,350.0","6,200.0","6,200.0"
quarterly indicator,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
repayment of long-term debt,-301.0,-572.0,-753.0,-18.0,-308.0,-327.0,-782.0,0.0,0.0,-144.0,-144.0,"5,139.0","-1,048.0","-1,139.0","-8,358.0","-2,350.0","-3,986.0","-4,758.0","-7,471.0","-2,729.0","-5,824.0","-7,821.0","-10,198.0","-6,253.0","-11,194.0","-16,806.0","-22,340.0","-4,011.0","-10,949.0","-15,732.0","-20,930.0","-4,459.0","-10,297.0","-18,157.0","-22,178.0","-10,834.0","-15,399.0","-28,533.0","-46,232.0",0.0,"-10,760.0","-19,655.0","-25,739.0","-35,685.0","-7,464.0","-15,986.0","-21,997.0","-27,456.0","-10,944.0","-19,049.0","-27,723.0","-38,065.0","-15,468.0","-27,558.0","-38,206.0","-48,011.0","-13,499.0"
restricted cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"29,382.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"78,266.0","97,677.0","119,939.0","104,496.0","84,880.0","99,430.0","106,664.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"53,731.0","53,512.0","61,491.0","77,423.0","64,264.0","53,099.0","56,685.0","53,597.0","49,671.0","41,044.0"
retained earnings,-917.0,-279.0,444.0,"1,277.0","1,978.0","2,747.0","3,294.0","4,004.0","4,523.0","4,933.0","5,373.0","5,840.0","6,347.0","6,811.0","7,259.0","7,864.0","8,503.0","9,062.0","9,914.0","11,082.0","12,146.0","12,901.0","13,970.0","15,354.0","16,093.0","17,579.0","19,085.0","21,416.0","23,536.0","24,927.0","27,868.0","30,859.0","32,985.0","35,634.0","38,642.0","39,751.0","41,646.0","42,301.0","39,913.0",0.0,"40,366.0","42,827.0","45,660.0","50,252.0","53,345.0","53,599.0","55,136.0","57,163.0","57,803.0","58,659.0","58,043.0","58,834.0","60,723.0","61,412.0","62,638.0","65,223.0","67,164.0"
total ordinary shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treasury shares,0.0,0.0,0.0,0.0,0.6,0.7,0.0,9.9,12.9,19.0,22.8,26.0,30.2,35.7,42.1,46.1,49.8,53.0,54.4,59.0,62.7,67.5,73.1,84.6,100.1,116.4,136.8,155.9,162.4,166.3,187.0,200.0,205.4,216.6,228.0,235.8,237.0,238.4,238.4,0.0,238.3,238.3,238.3,238.3,251.2,251.2,256.7,263.4,272.1,282.8,300.9,310.1,313.0,327.3,339.0,351.7,361.6
treasury stock,0.0,0.0,0.0,0.0,-55.0,-65.0,-648.0,"-1,021.0","-1,282.0","-1,800.0","-2,086.0","-2,369.0","-2,718.0","-3,118.0","-3,561.0","-3,831.0","-4,105.0","-4,382.0","-4,500.0","-4,965.0","-5,335.0","-5,765.0","-6,305.0","-7,530.0","-9,211.0","-10,951.0","-13,413.0","-15,990.0","-17,005.0","-17,578.0","-21,230.0","-23,915.0","-25,050.0","-27,499.0","-30,159.0","-31,712.0","-31,914.0","-32,176.0","-32,175.0",0.0,"-32,160.0","-32,157.0","-32,157.0","-32,156.0","-34,388.0","-34,386.0","-35,202.0","-36,295.0","-37,723.0","-39,219.0","-41,372.0","-42,281.0","-42,592.0","-44,092.0","-45,334.0","-46,850.0","-48,347.0"
